competition,season,match_date,home_team,away_team,home_goals,away_goals,home_xg,away_xg,source_xg,understat_id
Bundesliga,2025-2026,2026-03-04,Hamburger SV,Bayer Leverkusen,0,1,1.2869,2.6787,understat,30371
Bundesliga,2025-2026,2026-03-06,Bayern Munich,Borussia M.Gladbach,4,1,3.1198,1.2199,understat,30440
Bundesliga,2025-2026,2026-03-07,Freiburg,Bayer Leverkusen,3,3,2.5841,2.1863,understat,30442
Bundesliga,2025-2026,2026-03-07,FC Heidenheim,Hoffenheim,2,4,0.9667,2.7938,understat,30443
Bundesliga,2025-2026,2026-03-07,Mainz 05,VfB Stuttgart,2,2,3.5252,0.9201,understat,30444
Bundesliga,2025-2026,2026-03-07,RasenBallsport Leipzig,Augsburg,2,1,2.1944,3.6651,understat,30445
Bundesliga,2025-2026,2026-03-07,Wolfsburg,Hamburger SV,1,2,2.4661,1.8045,understat,30448
Bundesliga,2025-2026,2026-03-07,FC Cologne,Borussia Dortmund,1,2,0.964,1.9574,understat,30441
Bundesliga,2025-2026,2026-03-08,St. Pauli,Eintracht Frankfurt,0,0,0.4723,0.4515,understat,30446
Bundesliga,2025-2026,2026-03-08,Union Berlin,Werder Bremen,1,4,1.13,2.2398,understat,30447
