competition,season,match_date,home_team,away_team,home_goals,away_goals,home_xg,away_xg,source_xg,understat_id
Ligue 1,2025-2026,2026-05-13,Brest,Strasbourg,1,2,2.6465,1.6916,understat,29791
Ligue 1,2025-2026,2026-05-13,Lens,Paris Saint Germain,0,2,3.039,0.9439,understat,29792
Ligue 1,2025-2026,2026-05-17,Brest,Angers,1,1,2.3872,1.0642,understat,29835
Ligue 1,2025-2026,2026-05-17,Lille,Auxerre,0,2,1.2245,0.6158,understat,29836
Ligue 1,2025-2026,2026-05-17,Lorient,Le Havre,0,2,1.2694,1.2876,understat,29837
Ligue 1,2025-2026,2026-05-17,Lyon,Lens,0,4,1.1236,2.0157,understat,29838
Ligue 1,2025-2026,2026-05-17,Marseille,Rennes,3,1,3.9015,2.207,understat,29839
Ligue 1,2025-2026,2026-05-17,Nice,Metz,0,0,1.216,0.8368,understat,29841
Ligue 1,2025-2026,2026-05-17,Paris FC,Paris Saint Germain,2,1,2.3286,0.8639,understat,29842
Ligue 1,2025-2026,2026-05-17,Strasbourg,Monaco,5,4,2.1154,1.4473,understat,29843
