competition,season,match_date,home_team,away_team,home_goals,away_goals,home_xg,away_xg,source_xg,understat_id
Premier League,2025-2026,2026-05-24,Brighton,Manchester United,0,3,0.7024,2.3287,understat,29148
Premier League,2025-2026,2026-05-24,Burnley,Wolverhampton Wanderers,1,1,1.2848,2.8433,understat,29149
Premier League,2025-2026,2026-05-24,Crystal Palace,Arsenal,1,2,1.0049,3.9064,understat,29150
Premier League,2025-2026,2026-05-24,Fulham,Newcastle United,2,0,1.7288,0.2423,understat,29151
Premier League,2025-2026,2026-05-24,Liverpool,Brentford,1,1,2.9941,1.4608,understat,29152
Premier League,2025-2026,2026-05-24,Manchester City,Aston Villa,1,2,1.3808,2.4397,understat,29153
Premier League,2025-2026,2026-05-24,Nottingham Forest,Bournemouth,1,1,2.0585,1.3368,understat,29154
Premier League,2025-2026,2026-05-24,Sunderland,Chelsea,2,1,2.3311,0.9209,understat,29155
Premier League,2025-2026,2026-05-24,Tottenham,Everton,1,0,1.406,0.2685,understat,29156
Premier League,2025-2026,2026-05-24,West Ham,Leeds,3,0,2.7313,1.9497,understat,29157
